index,tweet,sentiment,score,all_hashtaged_words,VanderSentiment_pos,VanderSentiment_neg,VanderSentiment_neu,VanderSentiment_overall,polar_word_count_pos,polar_word_count_neg,Sentinent140_scores,hashtag_polarity,emotion_word_count_anticipation,emotion_word_count_disgust,emotion_word_count_fear,emotion_word_count_joy,emotion_word_count_negative,emotion_word_count_positive,emotion_word_count_sadness,emotion_word_count_surprise,emotion_word_count_trust,emotion_word_count_anger,score_hashtag_emotion_lexicon,emoticons_score
10033,since the update my loses power nearly 40 faster,anger,0.792,['furious'],0,0.223,0.777,-0.3182,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,1.429598608,0
10034,im about to fly into a fit of rage its not fair,anger,0.792,[],0.147,0.326,0.527,-0.47,2,1,1.397,neural,0,0,0,0,1,1,0,0,0,1,0,2
10035,unbelievable takes 10 minutes to get through to then theres a fault and the call hangs up,anger,0.792,"['fuming', 'treatcustomersfairly']",0.092,0.138,0.769,-0.2263,0,2,-0.132,neural,0,0,0,0,2,0,1,0,0,0,1.275764735,0
10036,we are blaming 5 of the fucking idiots who are putting the world in the middle of their tantrums you are one,anger,0.792,[],0,0.222,0.778,-0.6908,0,1,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10037,you people infuriate me,anger,0.792,[],0,0.516,0.484,-0.4939,0,1,-0.176,neural,0,0,0,0,0,0,0,0,0,0,0,0
10038,mine is that the party did decide but the party has been slowly transformed into a vengeful hell cult of white male resentment,anger,0.792,[],0.156,0.296,0.548,-0.7814,1,4,1.147,neural,0,2,3,0,4,0,2,0,0,3,0,0
10039,so about my order 6 ago i placed an order of over 500 card billed never,anger,0.771,"['angry', 'months', 'received']",0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,2.250904165,0
10040,still cant log into my fucking snapchat,anger,0.9,['snap'],0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10041,sam yes we have not helpful at all we need this sorting asap you keep promising stuff that doesnt happen,anger,0.771,['fuming'],0.218,0.094,0.687,0.471,3,1,-0.425,neural,1,0,0,1,0,2,0,0,0,0,1.275764735,0
10042,someone let snakes in my house i bet it boihuck i kill that bugger when i get my hands on him,anger,0.771,"['rage', 'HuckFP2']",0,0.19,0.81,-0.6908,0,1,-0.274,neural,0,0,1,0,1,0,1,0,0,0,1.303462306,0
10043,so ef whichever butt wipe pulled the fire alarm in davis bc i was sound asleep ,anger,0.771,"['pissed', 'upset', 'tired', 'sad', 'tired', 'hangry', '#####']",0,0.255,0.745,-0.5859,1,1,0,negative,0,0,2,0,2,0,0,1,0,0,6.685659611,0
10044,why does have to come to glasgow on a night i am working i am fucking gutted been waiting for an appearance for ages,anger,0.733,[],0,0,1,0,0,0,-0.318,neural,0,0,0,0,0,1,0,0,0,0,0,0
10045,i feel furious,anger,0.771,[],0,0.649,0.351,-0.5719,0,1,-3,neural,0,1,0,0,1,0,0,0,0,1,0,-3
10046,some mexican ladies irritate the fuck outta me have a their own lil preschool of fucking kids for the welfare amp allllat smh,anger,0.771,[],0,0.301,0.699,-0.8225,1,1,-1.185,neural,0,0,0,0,0,0,0,0,0,0,0,0
10047,still cant log into my fucking snapchat,anger,0.771,['Snapchat'],0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10048,i blame the whole season on natalie the season would have been so different had she not turned her back on her alliance,anger,0.771,"['pissed', 'bitter']",0,0.098,0.902,-0.34,1,1,-0.173,neural,0,1,0,0,1,0,0,0,0,1,1.955399396,0
10049,people irritate my mf soul,anger,0.771,[],0,0.412,0.588,-0.4215,0,1,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10050,im so angry facewithtearsofjoy upsidedownface,anger,0.75,[],0,0.473,0.527,-0.5563,0,1,0,neural,0,1,0,0,1,0,0,0,0,1,0,0
10051,people fuckin irritate me,anger,0.75,[],0,0.508,0.492,-0.4754,0,1,-0.176,neural,0,0,0,0,0,0,0,0,0,0,0,0
10052,you are a cruel cruel man,anger,0.84,"['therewillbeblood', 'revenge']",0,0.655,0.345,-0.8225,0,2,-0.225,neural,0,2,2,0,2,0,2,0,0,2,1.012180214,0
10053,that way ur so angry you can literally feel ur blood boiling,anger,0.75,[],0,0.278,0.722,-0.6418,0,3,-0.541,neural,0,1,0,0,1,0,0,0,0,1,0,0
10054,this amount of greedy mooching makes me snarl,anger,0.75,[],0,0.455,0.545,-0.6124,0,2,0,neural,0,2,0,0,2,0,0,0,0,1,0,0
10055,my mind is raging and i just want to end it all,anger,0.75,[],0.088,0.231,0.68,-0.4767,2,2,0,neural,0,1,1,0,1,0,0,0,0,1,0,0
10056,absolutely fuming that some woman jumped into my prebooked taxi and drove off enragedface,anger,0.75,[],0,0.235,0.765,-0.6115,0,0,0,neural,0,0,0,0,1,0,0,0,0,1,0,0
10057,im nothing but a hateful and bitter fag,anger,0.75,[],0.211,0.482,0.307,-0.6606,0,2,-3.313,neural,0,1,1,0,1,0,1,0,0,1,0,-3
10058,something needs to be done about people hogging machines nobody can use 3 machines at one time,anger,0.75,"['angry', 'notfair', 'whypay']",0,0,1,0,0,0,0,neural,1,0,0,0,0,0,0,0,0,0,1.92157932,0
10059,ikr people still got a grudge against him for no reason like wtf,anger,0.75,[],0,0.448,0.552,-0.797,2,2,-5.405,neural,0,0,0,0,1,1,0,0,0,1,0,-4
10060,then he said talking about wills uncontrollable animals when moving to another link these comments do not help,anger,0.75,['fuming'],0,0.229,0.771,-0.5801,2,0,1.812,neural,1,0,0,0,1,0,0,1,0,1,1.275764735,2
10061,bad news if ordered online it hasnt gone through same happened to me had to re order on the phone,anger,0.844,['furious'],0,0.156,0.844,-0.5423,0,1,-0.771,neural,0,1,1,0,1,0,1,0,0,1,1.429598608,0
10062,so angry i wanna cry cryingface cryingface cryingface,anger,0.75,[],0,0.527,0.473,-0.7713,0,2,0,neural,0,1,0,0,2,0,1,0,0,1,0,0
10063,ooooooooh my god uuuugggghhhhhhhhh,anger,0.75,[],0.412,0,0.588,0.2732,0,0,0,neural,1,0,1,1,0,1,0,0,0,0,0,0
10064,boycotting till butter pecan comes back i am furious,anger,0.75,[],0,0.478,0.522,-0.7506,1,1,-3,neural,0,1,0,0,1,0,0,0,0,1,0,-3
10065,in 2016 black people are still fighting to be recognized as human beings,anger,0.885,"['cantsleep', 'angry']",0,0.172,0.828,-0.3612,0,1,0.742,neural,0,0,0,0,1,0,0,0,0,1,2.49403997,0
10066,my mom cut my phone off and im so furious smilingfacewithopenhands,anger,0.75,[],0,0.432,0.568,-0.7809,0,2,0,neural,0,1,0,0,1,0,0,0,0,1,0,0
10067,once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75,[],0,0.145,0.855,-0.5267,0,1,0,neural,0,1,1,0,1,1,0,0,0,1,0,0
10068,cant believe achilles killed me,anger,0.75,['angry'],0.473,0,0.527,0.5559,0,0,-0.176,neural,0,0,0,0,0,0,0,0,0,0,1.427124553,0
10069,i lost a couple niggas i want revenge so put me in coach,anger,0.875,[],0.071,0.44,0.489,-0.7783,1,2,0,neural,1,0,1,0,2,0,1,1,0,1,0,0
10070,then its poor packaging my amazon and the fulfilled seller should be furious as much as you confusedface,anger,0.75,[],0.178,0.269,0.553,-0.5106,0,2,0,neural,0,1,0,0,1,0,0,0,0,1,0,0
10071,wheres your outrage when a black man kills another black man in the streets,anger,0.75,[],0,0.362,0.638,-0.7783,0,3,0,neural,0,1,0,0,1,0,0,0,0,1,0,0
10072,it makes me so fucking irate jesus nobody is calling ppl who like hajime abusive stop with the strawmen lmao,anger,0.75,[],0.198,0.337,0.465,-0.6674,1,2,4,neural,0,0,0,0,1,0,0,0,0,1,0,4
10073,absolutely fuming ive just scratched all my car enragedface enragedface enragedface enragedface enragedface enragedface,anger,0.75,[],0,0.235,0.765,-0.6115,1,0,0,neural,0,0,0,0,1,0,0,0,0,1,0,0
10074,heartattack holy shit it just a bee sting like fuck youre not dying,anger,0.553,[],0.128,0.362,0.51,-0.6808,3,2,-1.278,neural,0,2,3,0,3,1,1,0,0,4,0,0
10075,how the fuk who the heck moved my fridge should i knock the landlord door ,anger,0.729,"['mad', '#']",0,0,1,0,0,2,0,neural,0,0,0,0,0,0,0,0,0,0,1.093443178,0
10076,i dislike people who get offended by the littlest shit,anger,0.729,[],0,0.539,0.461,-0.802,0,1,-4.866,neural,0,2,0,0,3,0,1,0,0,3,0,-4
10077,what the fuck am i supposed to do with no lunch no dinner no money and im off to work,anger,0.729,"['furious', 'hangry', 'day5']",0.148,0.224,0.628,-0.4449,0,1,-0.729,neural,1,0,0,1,0,2,0,1,0,1,2.859514023,0
10078,haley it does if one person ruins season 13 for me i will be so angry,anger,0.729,[],0,0.338,0.662,-0.7987,1,1,-4.15,neural,0,1,0,0,1,0,0,0,0,1,0,-3
10079,what the fuck am i supposed to do with no lunch no dinner no money and im off to work,anger,0.729,"['hangry', 'day5']",0.148,0.224,0.628,-0.4449,0,1,-0.729,neural,1,0,0,1,0,2,0,1,0,1,1.429915415,0
10080,not only are your buses unreliable your e ticket app is too unable to get on two buses and late for work reply,anger,0.864,"['fuming', 'useless']",0,0,1,0,0,3,0,neural,0,0,0,0,3,0,2,0,0,0,1.464129748,0
10081,so my indian uber driver just called someone the n word if i wasnt in a moving vehicle id have jumped out,anger,0.729,"['disgusted', 'offended']",0,0,1,0,2,0,0,neural,0,0,0,0,0,1,0,0,0,0,1.734578194,0
10082,the liberal outrage over don king saying the n word really angers me the white yuppie progressives can go fuck themselves shame on blacks,anger,0.863,[],0,0.403,0.597,-0.9259,2,2,-0.597,neural,0,2,1,0,3,4,1,0,0,1,0,0
10083,just paid for chicken at and didnt even get any expressionlessface expressionlessface expressionlessface there goes 4 dollars and me as a customer,anger,0.729,['angry'],0,0,1,0,2,0,-0.225,neural,0,0,1,0,0,1,0,0,0,0,1.427124553,0
10084,but that was a mistake and a half assed excuse and now here i am burning in hell forever,anger,0.729,[],0.054,0.353,0.594,-0.8765,0,3,-0.279,neural,0,1,1,0,3,0,2,0,0,1,0,0
10085,you have had from me over the years is irrelevant its an absolute joke,anger,0.873,"['manutd', 'ticketing', 'fuming', 'noloyalty', 'joke', 'notimpressed']",0.145,0,0.855,0.296,1,1,2,neural,0,0,0,0,2,1,0,0,0,0,2.761759439,2
10086,part 2 was buzzing for a cheeky squashie or two this was not what i expected sort it out,anger,0.538,"['food', 'angry']",0,0,1,0,0,0,0,neural,1,0,0,0,0,0,0,0,0,0,2.860297006,0
10087,tasers immobilize if you taser someone why the fuck do you need to shoot them one second later this is really sick,anger,0.729,"['wtf', 'murder']",0,0.333,0.667,-0.8588,0,2,-4.164,neural,0,1,1,0,2,0,1,0,0,1,1.404467571,-2
10088,bes you dont just tell a true blooded hoopjunkie to switch a fc  team that juz destroyed your own team you juz dont,anger,0.729,[],0.104,0.119,0.778,-0.1027,1,0,-0.797,neural,0,0,1,1,1,1,1,0,0,1,0,0
10089,fucked my coupon that goal,anger,0.729,['raging'],0,0.524,0.476,-0.6597,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,1.366402009,0
10090,lvg bribed all the refs against utd for his own personal revenge that was a foul you prick,anger,0.729,[],0,0.266,0.734,-0.7003,0,3,-5.133,neural,1,2,3,0,3,0,0,2,0,3,0,-5
10091,now that the whole clown rage has scared me shitless im gonna go cry in my room,anger,0.729,[],0,0.407,0.593,-0.8625,0,3,-0.255,neural,1,0,0,1,2,1,1,1,0,1,0,0
10092,worst juror ever michelle you were nicoles biggest threat,anger,0.729,"['bitter', 'bb18']",0,0.517,0.483,-0.8176,0,2,-2,neural,0,0,1,0,1,0,0,0,0,1,0.85455127,-2
10093,your twitter picture just makes me fume,anger,0.729,[],0,0.268,0.732,-0.296,1,1,0,neural,0,0,0,0,1,0,0,0,0,0,0,0
10094,you are a cruel cruel man,anger,0.775,['therewillbeblood'],0,0.655,0.345,-0.8225,0,2,-0.225,neural,0,2,2,0,2,0,2,0,0,2,0,0
10095,thats really it for my madden career that game sucks ea sports does a piss poor job every year on that shit,anger,0.867,[],0,0.398,0.602,-0.8979,0,3,-4.866,neural,1,1,1,0,2,2,0,0,0,2,0,-4
10096,ha right im from san jose ca and i was offended right there with you dave go on a walk or something next time,anger,0.831,[],0.091,0.076,0.833,0.1027,2,0,0,neural,1,0,0,0,1,0,1,0,0,1,0,0
10097,something needs to be done about people hogging machines nobody can use 3 machines at one time,anger,0.708,"['notfair', 'whypay']",0,0,1,0,0,0,0,neural,1,0,0,0,0,0,0,0,0,0,0.494454767,0
10098,i wonder what american city will be next to protest about police shootings whos next smh,anger,0.708,"['whenwillitstop', 'angry', 'howmanymoretimes']",0,0.235,0.765,-0.5106,2,1,-1.185,neural,0,0,1,0,0,1,0,0,0,0,1.427124553,0
10099,another angry white man,anger,0.708,[],0,0.524,0.476,-0.5106,1,1,-0.225,neural,0,1,0,0,1,0,0,0,0,1,0,0
10100,have wee pop socks on and they keep falling off inside my shoes,anger,0.759,['rage'],0,0.118,0.882,-0.1531,0,1,0,neural,0,0,0,0,2,0,1,1,0,0,1.303462306,0
10101,the majority of people irritate the fuck out of me cba with people ahahah,anger,0.862,[],0,0.344,0.656,-0.743,0,1,0.719,neural,0,0,0,1,0,1,0,0,0,0,0,0
10102,perria a multimillionaire spoiled brat who gets in a self righteous huff bc his friend is muslim is a non starter bye,anger,0.708,[],0.132,0,0.868,0.4939,2,1,-0.285,neural,1,1,0,1,1,2,0,0,0,1,0,0
10103,wont use using again these guys cant get nothing right,anger,0.708,[],0,0,1,0,1,0,-0.125,neural,1,0,0,0,0,0,0,0,0,0,0,0
10104,dont provoke me to anger,anger,0.708,[],0.252,0.413,0.335,-0.3489,0,2,-3.255,neural,0,0,0,0,1,0,0,0,0,1,0,-3
10105,you complain all the time and then wonder why people never want to see you you acc rile me up stfuuu,anger,0.708,[],0,0.164,0.836,-0.4063,2,2,0,neural,1,0,0,0,1,0,1,0,0,1,0,0
10106,bloods boiling,anger,0.708,[],0,0,1,0,0,1,-0.541,neural,0,0,0,0,0,0,0,0,0,0,0,0
10107,leave it on there rule nimber 1 of carpet cleaning,anger,0.708,"['furious', 'worsethananatomicbomb', 'accidentlyspillbeeronthecarpet']",0,0.118,0.882,-0.0516,0,0,-0.166,neural,0,0,1,0,1,1,1,1,0,0,1.429598608,0
10108,wallah my blood is boiling i need to take a nap ugh,anger,0.817,[],0,0.203,0.797,-0.4215,0,4,-2.098,neural,0,0,0,1,0,1,0,0,0,0,0,0
10109,i swear if blocks me im going to hit her back,anger,0.708,[],0,0.256,0.744,-0.2732,1,1,-0.283,neural,0,0,0,0,1,1,0,0,0,1,0,0
10110,i am angry at the student for being a racist and the teacher for not stopping it and at the class for letting it go by,anger,0.708,[],0.045,0.23,0.725,-0.7818,0,2,0,neural,0,1,0,0,1,1,0,0,0,1,0,0
10111,im about to block everyone everywhere posting about the storm i think everyone is aware of the damn rain and what not so quit,anger,0.708,"['damn', 'rage']",0,0.203,0.797,-0.6808,0,4,0,neural,0,1,0,0,3,0,0,0,0,2,1.660740919,0
10112,im just a fuming ball of anger today upsidedownface,anger,0.708,[],0,0.514,0.486,-0.8126,1,1,0,neural,0,0,0,0,2,0,0,0,0,2,0,0
10113,i didnt find out about this till today due to my bff telling me i am so disgusted and offended by this,anger,0.75,[],0.132,0.225,0.643,-0.4078,0,1,-0.194,neural,0,0,0,0,1,0,1,0,0,1,0,0
10114,thanks for saying my wife and i were getting our iphones today and then losing both of them with no eta,anger,0.688,"['thanks', 'angry']",0.113,0.187,0.7,-0.2263,0,1,-0.777,neural,0,0,0,0,1,0,1,0,0,1,1.547976955,0
10115,a not turning up why am i not surprised late for work again,anger,0.688,['fuming'],0,0.122,0.878,-0.1695,0,0,-0.286,neural,0,0,0,0,1,0,1,1,0,0,1.275764735,0
10116,police officers should not have the right to just shoot human beings without provocation its wrong,anger,0.688,[],0.135,0.127,0.739,0.0397,2,2,-2.896,neural,0,0,2,0,3,1,0,0,0,2,0,-2
10117,angry already,anger,0.688,[],0,0.767,0.233,-0.5106,0,1,-0.405,neural,0,1,0,0,1,0,0,0,0,1,0,0
10118,flat party and i instantly get bollocked about it,anger,0.69,['fuming'],0.252,0,0.748,0.4019,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,1.275764735,0
10119,add tracking but resent them,anger,0.688,[],0,0.339,0.661,-0.2617,0,1,0,neural,0,0,0,0,1,0,0,0,0,1,0,0
10120,this man is an affront to our justice system,anger,0.688,[],0.298,0,0.702,0.5267,1,1,-0.426,neural,0,1,1,0,1,1,1,1,0,1,0,0
10121,someone let snakes in my house i bet it boihuck i kill that bugger when i get my hands on him,anger,0.764,['HuckFP2'],0,0.19,0.81,-0.6908,0,1,-0.274,neural,0,0,1,0,1,0,1,0,0,0,0,0
10122,ummm the blog says with simon stehr faking 7th ill expect an investigation forthwith this is an,anger,0.688,['outrage'],0,0.272,0.728,-0.6808,0,1,0,neural,2,1,1,0,1,1,1,1,0,1,0.870299627,0
10123,black armed thug with a record carrying gun illegally gets shot by black cop this is a joke let em destroy their town,anger,0.688,['outrage'],0.078,0.21,0.712,-0.5719,1,4,0,neural,0,1,5,0,5,1,1,1,0,4,0.870299627,0
10124,wakes up and says have you tried changing her nappy  enragedface oncomingfistmediumlightskintone,anger,0.688,['rage!!!!'],0,0,1,0,0,0,0,neural,0,1,0,0,1,0,0,0,0,0,0,0
10125,someone needs to tell candice shell be stuck with that shitty pout if the wind changes,anger,0.688,['GBBO'],0,0.286,0.714,-0.6808,0,1,0,neural,0,0,1,0,1,0,1,1,0,1,0,0
10126,turn that shit off home button under accessibility when did innovation become mind fuckery,anger,0.688,['iphonePhoneHome'],0.143,0.198,0.659,-0.25,1,1,-1.25,neural,0,1,0,0,1,1,0,0,0,1,0,0
10127,i just love it when people make plans for me without actually including me in this process,anger,0.688,['rage'],0.208,0,0.792,0.6369,2,0,0,neural,0,0,0,1,0,2,0,0,0,0,1.303462306,0
10128,smh remove ideologically bankrupt and opportunistic establishment now theyre burning all bridges and social contracts,anger,0.688,['anger'],0,0.368,0.632,-0.7184,0,2,0,neural,0,0,2,0,2,0,2,0,0,1,1.092345791,0
10129,wheres your outrage that your party nominated a lying corrupt person and received donations from nations who support terror,anger,0.766,[],0.183,0.342,0.475,-0.6908,1,4,-3,neural,0,2,1,0,4,1,0,0,0,2,0,-3
10130,how can you even forget to pick ur fave child up from school,anger,0.688,['offended'],0.184,0.12,0.696,0.25,1,1,-0.442,neural,1,0,0,1,1,2,0,0,0,0,0,0
10131,i get so angry at people that dont know that you dont have a stop sign on francis and you do at foster,anger,0.688,"['road', 'rage']",0.07,0.156,0.774,-0.5193,0,1,-0.159,neural,0,1,0,0,1,0,0,0,0,1,1.849551423,0
10132,they irritate me them and their inch thick made up masks,anger,0.667,[],0,0.219,0.781,-0.4215,0,1,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10133,fucked my coupon that goal,anger,0.667,[],0,0.524,0.476,-0.6597,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,0,0
10134,how was natalie one of the top three favorites and facewithrollingeyes,anger,0.667,"['toofaced', 'bitter']",0.338,0,0.662,0.5574,1,0,0,neural,1,0,0,0,0,1,0,0,0,0,0.85455127,0
10135,democrats and their voters have zero tolerance for honesty they associate honesty with anger and hate,anger,0.667,[],0.319,0.274,0.407,0.0516,3,2,-4.851,neural,0,1,1,0,2,3,1,0,0,2,0,-3
10136,the said many times to explain away the brutal killings of by amp,anger,0.667,"['rage??', 'CrookedCourt', 'rage', 'Petits', 'Hayes', 'Komisarjevsky']",0,0.439,0.561,-0.8625,0,1,0,neural,0,0,1,0,1,1,0,0,0,1,1.303462306,0
10137,towhy cant we brothers protect one another no ones serious and it makes me furious dont be misled just think of fred ,anger,0.578,['mayfield'],0.045,0.296,0.659,-0.7822,2,2,0,neural,0,1,0,0,1,1,0,0,0,1,0,0
10138,wakes up and says have you tried changing her nappy  enragedface oncomingfistmediumlightskintone,anger,0.667,[],0,0,1,0,0,0,0,neural,0,1,0,0,1,0,0,0,0,0,0,0
10139,you have had from me over the years is irrelevant its an absolute joke,anger,0.667,"['manutd', 'ticketing', 'noloyalty', 'joke', 'notimpressed']",0.145,0,0.855,0.296,1,1,2,neural,0,0,0,0,2,1,0,0,0,0,1.485994704,2
10140,all hell is breaking loose in charlotte,anger,0.667,"['CharlotteProtest', 'anger', 'looting']",0,0.58,0.42,-0.7845,0,1,0,neural,0,1,1,0,1,0,1,0,0,1,1.092345791,0
10141,theres this bpharm4 guy eish that guy brings anger into my life when i see him nje like darkness fills me will know,anger,0.667,[],0.089,0.202,0.709,-0.4939,2,2,0,neural,0,0,1,0,2,0,1,0,0,2,0,0
10142,i had an hour of football practice under the boiling sun and now i have 2hr volleyball practice under the boiling sun again,anger,0.667,[],0,0,1,0,0,2,-0.286,neural,3,0,0,3,0,5,0,2,0,0,0,0
10143,testing,anger,0.667,['angry'],0,0,1,0,0,0,0,neural,0,0,0,0,0,0,0,0,0,0,1.427124553,0
